Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28-03-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.13932025,49.14980918,49.15669878,49.16224445,49.17322699,49.17491749,49.17272436,49.17173482,49.16513931,49.15388505,49.13883531,49.11928727,49.10712769,49.0811084,49.03211834,48.9895413,48.93860409,48.88798503,48.8418802,48.79689062,48.75455699,48.69837417,48.68337664,48.71629791,48.75494749,48.80889606,48.86992084,48.94802172,49.03314058,49.07889033,49.04887996,48.9316869,48.79615911,48.6774461,48.55173337,48.44256976,48.35614541,48.28116983,48.20935333,48.13795803,48.07241221,47.97940259,47.88572798,47.81717565,47.74748771,47.70064456,47.68633768,47.68305661,47.67949712,47.66762085,47.69535883,47.69271779,47.62613601,47.55734837,47.48441029,47.41168459,47.34252532,47.27567598,47.21126442,47.15056087,47.10888024,47.12635047,47.13514021,
Africa Eastern and Southern,AFE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.61211651,49.61119152,49.60872414,49.604344,49.59948216,49.59448789,49.58928863,49.58669047,49.58636893,49.5850024,49.57626975,49.57566415,49.58823502,49.60439459,49.62680018,49.64987913,49.66488194,49.6792664,49.68950259,49.69862335,49.75033508,49.76589287,49.70793755,49.62676918,49.52346415,49.40503305,49.34861676,49.35966442,49.35424304,49.34913341,49.35561735,49.36396844,49.3445875,49.29821891,49.2585884,49.22112342,49.18023672,49.16641076,49.17444559,49.17837368,49.19115621,49.20953861,49.22763485,49.2475764,49.26840268,49.28834983,49.30914638,49.33000594,49.34822218,49.3617681,49.37509379,49.39042742,49.40614176,49.42262806,49.4408328,49.46805966,49.48106524,49.48414151,49.49511353,49.50400712,49.51345509,49.52108418,49.52765241,
Afghanistan,AFG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.9169458,51.83499922,51.75762821,51.6841069,51.61472689,51.54971481,51.488197,51.42952619,51.37399515,51.32201292,51.27330856,51.22715373,51.18363979,51.14336944,51.10646031,51.07280463,51.04197761,51.01418339,50.97839362,50.92125443,50.85258786,50.78382762,50.6956135,50.59663171,50.46119141,50.28948687,50.16219643,50.08456073,50.03533504,50.01850435,50.00924749,50.00349459,49.99815467,50.01257519,50.03675378,50.06097237,50.09281508,50.12621692,50.15667979,50.18889991,50.22489403,50.25979967,50.29558687,50.33083493,50.36491525,50.39534532,50.42045056,50.44901806,50.47453572,50.49414637,50.51629192,50.532335,50.54441966,50.55789713,50.56786529,50.57681872,50.58539175,50.58071591,50.56279122,50.54451212,50.52905877,50.51159539,50.49127775,
Africa Western and Central,AFW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.82031188,49.80559645,49.79683875,49.79632048,49.79545249,49.79582772,49.79906946,49.79683983,49.79001908,49.78701267,49.79310692,49.8096091,49.82831654,49.84591551,49.86278562,49.87716016,49.88851707,49.89194775,49.88775334,49.88281383,49.8788305,49.87816322,49.8786634,49.87580919,49.88023793,49.89086056,49.8989997,49.9076347,49.9212562,49.93641164,49.94727894,49.95380513,49.95920122,49.96670074,49.97437279,49.97941885,49.9822238,49.98279845,49.98673062,49.99509941,50.0038752,50.01198315,50.02389593,50.04042403,50.05623101,50.06969696,50.08340419,50.09931418,50.11519519,50.13129092,50.14695243,50.16006665,50.17083172,50.18135001,50.19208745,50.20340912,50.21648637,50.22970775,50.24163158,50.25273127,50.2610445,50.26754772,50.27403129,
Angola,AGO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.15621048,50.29905356,50.3262035,50.36502021,50.42319157,50.51164613,50.63560948,50.78636596,50.93898422,51.04703034,51.020001,50.89974193,50.78440864,50.67443674,50.57052605,50.46838965,50.36615943,50.26788846,50.17583274,50.09028725,50.01053415,49.93698051,49.86923213,49.80013921,49.72998748,49.66592352,49.60828734,49.5417408,49.47015265,49.40770128,49.34998433,49.30724801,49.27132041,49.21283268,49.14866858,49.12843376,49.14119451,49.15363618,49.15602819,49.14284785,49.13212479,49.12470125,49.12011717,49.13118501,49.15051708,49.17080438,49.19051558,49.20930417,49.22901215,49.24855407,49.26624233,49.28318272,49.29889649,49.31374159,49.32836465,49.34250805,49.35790214,49.37428141,49.38838858,49.40112052,49.41144209,49.41920556,49.42755746,
Albania,ALB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,51.20287706,51.23049903,51.265649,51.30858306,51.3570715,51.40728703,51.45746174,51.50824664,51.55916785,51.60976706,51.65948232,51.70687067,51.75057053,51.79080127,51.82571558,51.85183927,51.86843114,51.87795855,51.87854223,51.86957185,51.85044045,51.8174609,51.76903431,51.70573245,51.62807985,51.53602535,51.43162356,51.31597479,51.1877191,51.04537165,50.89130233,50.7306756,50.5654351,50.39868683,50.23668799,50.08281664,49.94172097,49.81361328,49.70702391,49.62886424,49.57827117,49.56059908,49.57441066,49.61430538,49.67220898,49.73983013,49.81139627,49.88595752,49.95993819,50.02670155,50.08246382,50.12300674,50.14775985,50.15943809,50.16230355,50.15755524,50.14343664,50.12146818,50.09393423,50.06070184,50.01194691,49.95095824,49.88222653,
Andorra,AND,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.54537753,50.76350822,50.95333212,51.152969,51.34751773,51.50777852,51.70493606,51.9657034,52.25130277,52.4798092,52.68378651,52.83744489,52.98265592,53.1176977,53.21693651,53.29956585,53.35904963,53.39429384,53.41990545,53.45322477,53.50032293,53.54584043,53.47945489,53.33151959,53.19219554,53.050743,52.98103278,52.98205101,52.98263987,52.98321036,52.9970692,52.94584551,52.84290278,52.76218811,52.69426741,52.63316807,52.52622882,52.35923441,52.19985887,52.03411774,51.87073543,51.8298437,51.90334373,51.99642794,52.09987912,52.21231178,52.14220715,51.85625832,51.52981395,51.1658452,50.76553084,50.55054062,50.533001,50.50373422,50.47123051,50.43904887,50.49352082,50.62502539,50.75253623,50.87827306,50.98455598,51.06789483,51.0949088,
Arab World,ARB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.34378914,50.35483998,50.37684488,50.39904599,50.42542182,50.45535026,50.46760014,50.46353253,50.46503186,50.47133143,50.47890446,50.48906386,50.4991005,50.50614806,50.52140985,50.55579251,50.6024495,50.66154541,50.72917172,50.79314388,50.85312612,50.90236354,50.93598825,50.96022992,50.98315019,51.0127841,51.0449638,51.07338458,51.09375353,51.11782355,51.13459856,51.16617269,51.20592975,51.22969217,51.2473928,51.26052485,51.27707508,51.3044928,51.32137892,51.32994635,51.33752956,51.34106861,51.34415859,51.3446839,51.33690522,51.35124691,51.42100608,51.52546699,51.63278109,51.71892065,51.75676453,51.77134428,51.78606785,51.79474521,51.80498113,51.84501825,51.88898125,51.89551352,51.88190808,51.85153216,51.78141446,51.71097149,51.67322766,
United Arab Emirates,ARE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,60.76551797,61.08778301,61.34795838,61.56834771,61.7658268,61.94007952,62.08954079,62.20873127,63.50301055,65.63742542,67.27835107,68.41048088,69.20696897,69.7777808,70.19544471,70.51697295,70.75387063,70.83726504,70.77347991,70.63058918,70.44321373,69.81884782,68.84667288,67.96638903,67.17306247,66.4847456,66.28419613,66.47452359,66.64017709,66.78520404,66.91373475,67.03029253,67.13922062,67.24251153,67.34237174,67.44647057,67.62239407,67.84094207,68.02559284,68.18195465,68.31635135,68.43307766,68.53479486,68.62525545,68.70869215,69.03575876,69.97591731,71.1962489,72.18408041,72.79457211,72.80308558,72.42509071,72.06460866,71.71886117,71.3876186,71.0723986,70.77469271,70.49267029,70.22114143,69.95281088,69.72290838,69.53482301,69.35340042,
Argentina,ARG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.08162265,50.02542231,49.98325671,49.94000894,49.89658192,49.85421695,49.81500341,49.776403,49.73475284,49.69051247,49.64918345,49.59964504,49.54056415,49.48507605,49.43119293,49.38705476,49.35327563,49.32203529,49.29659748,49.27597147,49.2565532,49.23617252,49.21469118,49.19693502,49.18331023,49.177046,49.17919434,49.1847264,49.19363959,49.20463265,49.21773337,49.23060677,49.2405525,49.24803775,49.2612623,49.27760772,49.28926947,49.29607241,49.30046881,49.30698092,49.313095,49.3166512,49.31679343,49.32237868,49.33435476,49.34450418,49.35577055,49.3663512,49.37717898,49.39334886,49.41223412,49.43040755,49.44321017,49.45259029,49.46511837,49.47705305,49.48639905,49.4966271,49.50502319,49.50969393,49.50924851,49.50626348,49.50661298,
